1964	mens-road-race-individual	Gold	ITA	Mario Zanin	mario-zanin-1	http://www.sports-reference.com/olympics/athletes/za/mario-zanin-1.html
1964	mens-road-race-individual	Silver	DEN	Kjell Rodian	kjell-rodian-1	http://www.sports-reference.com/olympics/athletes/ro/kjell-rodian-1.html
1964	mens-road-race-individual	Bronze	BEL	Walter Godefroot	walter-godefroot-1	http://www.sports-reference.com/olympics/athletes/go/walter-godefroot-1.html
1960	mens-road-race-individual	Gold	URS	Viktor Kapitonov	viktor-kapitonov-1	http://www.sports-reference.com/olympics/athletes/ka/viktor-kapitonov-1.html
1960	mens-road-race-individual	Silver	ITA	Livio Trap̬	livio-trape-1	http://www.sports-reference.com/olympics/athletes/tr/livio-trape-1.html
1960	mens-road-race-individual	Bronze	BEL	Willy Vanden Berghen	willy-vanden-berghen-1	http://www.sports-reference.com/olympics/athletes/va/willy-vanden-berghen-1.html
1956	mens-road-race-individual	Gold	ITA	Ercole Baldini	ercole-baldini-1	http://www.sports-reference.com/olympics/athletes/ba/ercole-baldini-1.html
1956	mens-road-race-individual	Silver	FRA	Arnaud Geyre	arnaud-geyre-1	http://www.sports-reference.com/olympics/athletes/ge/arnaud-geyre-1.html
1956	mens-road-race-individual	Bronze	GBR	Alan Jackson	alan-jackson-1	http://www.sports-reference.com/olympics/athletes/ja/alan-jackson-1.html
1952	mens-road-race-individual	Gold	BEL	Andr̩ Noyelle	andre-noyelle-1	http://www.sports-reference.com/olympics/athletes/no/andre-noyelle-1.html
1952	mens-road-race-individual	Silver	BEL	Robert Grondelaers	robert-grondelaers-1	http://www.sports-reference.com/olympics/athletes/gr/robert-grondelaers-1.html
1952	mens-road-race-individual	Bronze	GER	Edi Ziegler	edi-ziegler-1	http://www.sports-reference.com/olympics/athletes/zi/edi-ziegler-1.html
1948	mens-road-race-individual	Gold	FRA	Jos̩ Beyaert	jose-beyaert-1	http://www.sports-reference.com/olympics/athletes/be/jose-beyaert-1.html
1948	mens-road-race-individual	Silver	NED	Gerrit Voorting	gerrit-voorting-1	http://www.sports-reference.com/olympics/athletes/vo/gerrit-voorting-1.html
1948	mens-road-race-individual	Bronze	BEL	Lode Wouters	lode-wouters-1	http://www.sports-reference.com/olympics/athletes/wo/lode-wouters-1.html
1936	mens-road-race-individual	Gold	FRA	Robert Charpentier	robert-charpentier-1	http://www.sports-reference.com/olympics/athletes/ch/robert-charpentier-1.html
1936	mens-road-race-individual	Silver	FRA	Guy Lap̩bie	guy-lapebie-1	http://www.sports-reference.com/olympics/athletes/la/guy-lapebie-1.html
1936	mens-road-race-individual	Bronze	SUI	Ernst Nievergelt	ernst-nievergelt-1	http://www.sports-reference.com/olympics/athletes/ni/ernst-nievergelt-1.html
1932	mens-road-race-individual	Gold	ITA	Attilio Pavesi	attilio-pavesi-1	http://www.sports-reference.com/olympics/athletes/pa/attilio-pavesi-1.html
1932	mens-road-race-individual	Silver	ITA	Guglielmo Segato	guglielmo-segato-1	http://www.sports-reference.com/olympics/athletes/se/guglielmo-segato-1.html
1932	mens-road-race-individual	Bronze	SWE	Bernhard Britz	bernhard-britz-1	http://www.sports-reference.com/olympics/athletes/br/bernhard-britz-1.html
1928	mens-road-race-individual	Gold	DEN	Henry Hansen	henry-hansen-1	http://www.sports-reference.com/olympics/athletes/ha/henry-hansen-1.html
1928	mens-road-race-individual	Silver	GBR	Frank Southall	frank-southall-1	http://www.sports-reference.com/olympics/athletes/so/frank-southall-1.html
1928	mens-road-race-individual	Bronze	SWE	G̦sta Carlsson	gosta-carlsson-1	http://www.sports-reference.com/olympics/athletes/ca/gosta-carlsson-1.html
1924	mens-road-race-individual	Gold	FRA	Armand Blanchonnet	armand-blanchonnet-1	http://www.sports-reference.com/olympics/athletes/bl/armand-blanchonnet-1.html
1924	mens-road-race-individual	Silver	BEL	Rik Hoevenaers	rik-hoevenaers-1	http://www.sports-reference.com/olympics/athletes/ho/rik-hoevenaers-1.html
1924	mens-road-race-individual	Bronze	FRA	Ren̩ Hamel	rene-hamel-1	http://www.sports-reference.com/olympics/athletes/ha/rene-hamel-1.html
1920	mens-road-race-individual	Gold	SWE	Harry Stenqvist	harry-stenqvist-1	http://www.sports-reference.com/olympics/athletes/st/harry-stenqvist-1.html
1920	mens-road-race-individual	Silver	RSA	Henry Kaltenbrunn	henry-kaltenbrunn-1	http://www.sports-reference.com/olympics/athletes/ka/henry-kaltenbrunn-1.html
1920	mens-road-race-individual	Bronze	FRA	Fernand Canteloube	fernand-canteloube-1	http://www.sports-reference.com/olympics/athletes/ca/fernand-canteloube-1.html
1912	mens-road-race-individual	Gold	RSA	Rudolph Lewis	rudolph-lewis-1	http://www.sports-reference.com/olympics/athletes/le/rudolph-lewis-1.html
1912	mens-road-race-individual	Silver	GBR	Freddie Grubb	freddie-grubb-1	http://www.sports-reference.com/olympics/athletes/gr/freddie-grubb-1.html
1912	mens-road-race-individual	Bronze	USA	Carl Schutte	carl-schutte-1	http://www.sports-reference.com/olympics/athletes/sc/carl-schutte-1.html
1906	mens-road-race-individual	Gold	FRA	Fernand Vast	fernand-vast-1	http://www.sports-reference.com/olympics/athletes/va/fernand-vast-1.html
1906	mens-road-race-individual	Silver	FRA	Maurice Bardonneau	maurice-bardonneau-1	http://www.sports-reference.com/olympics/athletes/ba/maurice-bardonneau-1.html
1906	mens-road-race-individual	Bronze	FRA	Edmond Luguet	edmond-luguet-1	http://www.sports-reference.com/olympics/athletes/lu/edmond-luguet-1.html
1896	mens-road-race-individual	Gold	GRE	Aristidis Konstantinidis	aristidis-konstantinidis-1	http://www.sports-reference.com/olympics/athletes/ko/aristidis-konstantinidis-1.html
1896	mens-road-race-individual	Silver	GER	Anton G̦drich	anton-godrich-1	http://www.sports-reference.com/olympics/athletes/go/anton-godrich-1.html
1896	mens-road-race-individual	Bronze	GBR	Edward Battel	edward-battel-1	http://www.sports-reference.com/olympics/athletes/ba/edward-battel-1.html
